Bursa;(51. Yarış Günü);10/10/2025
9;HIZLI ÇOCUK KG DB GKR;4y a  a;ALTINCI HİS;ALARAP;59 +0.20;H.ÇİZİK;KADRİ BAŞKURT;SEN.GÖKÇE;7;%3.41(8)  %3.55(8);89;Ç1Ç9K1S2K5S8;40;17;1:35.18
10;IŞINBİKE KG DB SK;5y d k;SAADIN GÜCÜ;ALARAP;57,5;O.ATMACA;KEZİBAN GÜNDÜZELİ;HÜS.KARABULUT;6;%1.45(10)  %1.36(10);80;K0K1K4K2K6K3;11;16;1:35.89
11;ULUARAT KG K;6y a k;ULUER;KOŞARAT;57,5;E.ÇİZİK;M.ERDİNÇ DÜZARAT;HAY.YILDIRIM;11 - DS;%5.86(5)  %6.4(5);94;K1K3K6K1K2K0;20;18;1:35.15
[(5)KUTADGU,(7)POWER OF QUATRO,] eküridir.4'LÜ GANYAN;6. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

7. Kosu :   17.00;KV-7/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1900m; Kum;;;;Rekor Derece :2.11.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)144.000 TL;2.)57.600 TL;3.)28.800 TL;4.)14.400 TL;5.)7.200 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;AKLIMCAN KG K DB;4y k  a;TURBO;KINAYCAN;61;C.ALTUN;MUHARREM CAN;K.KINAY;6;%7.61(4);77;K4S5S1S1Ç3Ç3;112;18;
2;AKMERİÇ KG SK;4y a  a;FİRİKYA;POMALİN;61;N.AVCİ;MEHMET YILDIZ;S.ÇİFTÇİ;8;%17.61(3);83;S6K2K1K1K8K6;10;18;2:15.01
3;KÖYCÜ BEY KG K DB;4y k  a;YILMABAŞAR;SEVDALIMSINCAN;61;M.M.BİLGİN;MELTEM PALIT;Y.TAŞKIN;7;%20.4(2);82;K1K9K1K0K3K5;18;17;2:17.22
4;AFŞINTAY KG (Koşmaz);4y k  a;KURTÇABEY;BAHTIEVER;58;MAH.TURAN;KAYA KAYA;Ş.Ş.DEMİR;4;%1.57(9);63;K7K5K7S3K7K9;22;13;2:16.33
5;BAKA BABA KG DB SK;4y k  a;YILMABAŞAR;ÖZGÜR BİKE;58;M.ÇİÇEK;SABRİ AVCI;M.E.AVCI;2;%31.55(1);77;K2K2K1K1K3K4;8;18;2:15.34
6;BARBUDA KG K;4y k  a;ARHANBEY;TAMBORA;58 +0.20;N.ŞEN;H.TARIK DİKENCİK;M.ÖZGÜL;9 - DS;%5.38(6);68;Ç2Ç4Ç7K3K3K3;7;16;
7;EL FURAT K;4y k  a;RED ROSE;ALYA EYLÜL;58 +0.20;O.YILDIZ;MEHMET DEMİRKOL;A.TEMİZER;5;%6.84(5);66;Ç5K3Ç2Ç2Ç1S2;89;19;2:27.77
8;SAFDERUN OĞLU KG K DB;4y a  a;DİLİRAN;TUMBUL YAPRAK;58 +0.20;H.ÇİZİK;İSMET ALTIN;A.TEMİZER;1;%5.02(7);67;K1K1K6K9K6K6;7;16;2:18.99
9;GOBAK KAYRA KG GKR;4y a  a;DİLİRAN;TOŞUR HANIM;55;B.M.MIRIK;ERSİN ERDEM;C.TURAN;3;%4(8);52;K2K2K1K6K9K4;17;17;
2. 3'LÜ GANYAN;7. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE

8. Kosu :   17.30;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.06.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)285.000 TL;2.)114.000 TL;3.)57.000 TL;4.)28.500 TL;5.)14.250 TL;1.)51.300 TL;2.)20.520 TL;3.)10.260 TL;4.)5.130 TL;5.)2.565 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;CRIMEAN FIDDLE KG DB SK (Koşmaz);3y d  e;CRIMEAN TATAR;ALLEGRO FIDDLE;60;K.TOKAÇOĞLU;ALİ BAKİLER;İ.H.BAYDAN;3;%0.18(8);40;Ç8Ç4Ç2Ç7Ç3Ç1;18;20;
2;PRIVATE JET DB SKG SK;3y d  d;TOROK (IRE);FLEURINE;59;N.AVCİ;G.DİLEK EMİRSOY;M.ESMER;5;%41.38(1);54;K2K2Ç1Ç3Ç4K6;14;17;2:12.89
3;DOĞU ASLANI DB SKG SK;3y k  e;GRAYSTORM;NURŞO;58 +0.10;H.ÇİZİK;RECEP KETME;F.KIRAN;4;%14.6(3);35;Ç6K8Ç0S0K3Ç6;4;13;2:10.70
4;MY İKARUS KG SK;3y a  e;FINESSE;FERİDE ANA;58;B.M.MIRIK;BAYRAM ÇELİK;At Sahibi;7;%15.3(2);36;K0Ç3Ç2Ç4Ç2Ç5;9;17;
5;SWORD OF HONOUR SKG SK;3y d  e;MYBOYCHARLIE (IRE);ABBAGNATO (GB);58;C.PASO;KEMAL AYDIN ONUR;K.ŞENGEL;2;%3.75(7);37;S1K7S8S8S6Ç8;9;15;
6;SARABANDE DB SKG SK;3y d  d;VICTOIRE PISA (JPN);MELANCHOLY;56 +0.30;M.M.BİLGİN;BAHRİ ÇABUK;HAK.EL;1;%8.56(5);49;Ç2Ç4Ç9Ç4Ç5Ç8;7;15;
7;GREAT DESIGN KG DB SK;3y d  e;APPROVE (IRE);CHASING THE WIND;55 +1.70;T.ALICI;ÇETİN ÇATAN;R.SUNA;8 - DS;%4.97(6);28;K6K0Ç4;18;17;
8;JUNIOR STORM SKG SK;3y d  e;EL CORREDOR (USA);PORTO VENERE (IRE);55 +0.90;İ.SOYAD;ABDULLAH AVCI;S.ÇİFTÇİ;6;%11.26(4);30;Ç8K0S3S5;9;16;
8. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE

9. Kosu :   18.00;Handikap 15/DHÖW/Dişi /H2; 3 Yaşlı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.33.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)105.000 TL;2.)42.000 TL;3.)21.000 TL;4.)10.500 TL;5.)5.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;YEŞİLKAYA KG DB SK;3y k  d;DEMİRTURBO;HALEPLİKIZ;58,5;M.ÇİÇEK;AHMET KAYA;M.DEMİRTAŞ;10;%8.38(5);52;Ç1Ç8Ç7Ç6Ç0Ç3;8;15;
2;BERRANUR KG DB SK;3y d  d;YAKUPBEY;MERCAN ADASI;55;HA.GÖKÇE AP;ÜMİT ÖZSARI;K.ŞENGEL;11;%8.19(6);51;K6Ç8K1Ç6K5K1;20;20;1:38.06
3;HOŞ ESİNTİ SK;3y k  d;TURBO;SONDEM;54 +1.80;A.MEH.ALTIN AP;SEMİH KATI;M.DOLAK;6;%12.44(2);49;Ç5Ç8Ç3Ç4Ç2Ç2;8;19;
4;HÜMA ANA;3y d  d;YAVUZBEY;KARBON;57;N.AVCİ;YUSUF KAYA;At Sahibi;4;%30.14(1);49;K1K5K4Ç4K2K1;10;20;1:37.88
5;BUDABEŞTE GÜLÜ DB SKG SK;3y k  d;TURBO;BUDAPEŞTELİ;54 +1.60;F.KARAKURT AP;ABDULLAH İLKKAHRAMAN;A.MANTAŞ;14;%1.05(12);47;S1K1Ç8K8S5K9;78;16;
