Bursa;(51. Yarış Günü);10/10/2025
1. Kosu :   14.00;Handikap 15/Dişi /H2; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
7;KIVANÇBEY KG K;3y d  e;YÜREKKAYA;ÜÇYILDIZ;54 +1.90;D.BUDAK AP;ADİLE KAYA;A.MANTAŞ;3;%0.32(13)  %0.34(13);12;1:34.19;93,25;
8;BİÇERGİLLER KG DB SK;3y a  e;BİÇER;FERZİNE;57 +0.60;N.ŞEN;ÖNDER BAHAR;G.DÜŞÜNCELİ;4;%0.66(10)  %0.83(10);;1:35.21;44,15;
9;CİHAN ŞAHI KG DB;3y d  e;TÜMÖZ BEY;KAMURAN;57;M.ÇİÇEK;EYÜP ERDEMİR;V.AKBULUT;9;%6.24(5)  %6.67(5);;1:35.96;8,80;
10;SİYAH KUŞ KG SK;3y a  d;SONALP;KAMARAN;55;N.AVCİ;ŞEYDA ERCAN;A.AKBULUT;11;%18.29(2)  %17.79(2);;1:36.51;4,65;
11;BEYAZ YAKAMOZ KG K;3y k  d;ÖZGÜNHAN;AYDANAZ;55 +0.10;C.PASO;MUHANNAD DARAVSHA;A.MANTAŞ;14;%0.63(11)  %0.74(11);11;1:38.37;54,65;
12;AĞA ABDULLAH KG K;3y k  e;FATİH AĞA;KUTLUAY;57 +0.50;O.GÖKÇE;MUHAMMET YAĞMURLU;Ş.Ş.DEMİR;2;%2.25(9)  %2.47(9);;1:38.94;21,20;
13;BAYBERK KG SK;3y k  e;KURTÇABEY;İLKORU;57;C.ALTUN;İSKENDER DEMİRCİ;H.DEMİRBAŞ;12;%0.39(12)  %0.44(12);18;1:40.11;70,95;
14;İHTİMAL KG (Koşmaz);3y d  e;TÜMÖZ BEY;ROZESİN;57;O.EREN;TEKİN BİRİCİK;SİN.ALTUNDAĞ;8;%0.47(14)  %0.49(14);;Koşmaz;;
GANYAN(1) :2,90 TL, 1. 3'LÜ GANYAN(2/2/1,8) :238,50 TL, İKİLİ(1/2) :37,45 TL, SIRALI İKİLİ(1/2) :49,60 TL, PLASE(1) :1,15 TL, PLASE(2) :13,15 TL, PLASE İKİLİ(1/2) :34,00 TL, PLASE İKİLİ(1/3) :11,30 TL, PLASE İKİLİ(2/3) :30,80 TL, SIRALI 5 Lİ BAHİS(1/2/3/11/9) :11.770,55 TL, TABELA BAHİS(1/2/3/11) :1.598,43 TL, TABELA BAHİS SIRASIZ(1/2/3/11) :59,37 TL Çıkan 1 Atla: 29,68 TL, 4. ÇİFTE(2/1) :43,65 TL

6. Kosu :   16.30;KV-8/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 59.50 kg; 1400m; Kum;;;;Rekor Derece :1.33.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)700.000 TL;2.)280.000 TL;3.)140.000 TL;4.)70.000 TL;5.)35.000 TL;1.)168.000 TL;2.)67.200 TL;3.)33.600 TL;4.)16.800 TL;5.)8.400 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;RÜZGARDAHAN KG SK;6y k  a;YAKUPBEY;ÇIĞIRTKAN;61,5;K.TOKAÇOĞLU;ŞEYDA ERCAN;BAY.GÜL;9;%5.31(6)  %5.65(6);101;1:35.59;10,75;Boyun
2;ULUARAT KG K;6y a k;ULUER;KOŞARAT;57,5;E.ÇİZİK;M.ERDİNÇ DÜZARAT;HAY.YILDIRIM;11 - DS;%5.86(5)  %6.4(5);94;1:35.64;11,35;1,5  Boy
3;POWER OF QUATRO KG K DB;5y k  a;UÇANOĞLU;MED BEY;59,5;M.M.BİLGİN;ERKUT ŞAHİN;U.YOĞURTCU;3;%3.53(4)  %3.28(4);91;1:35.83;6,35;2 Boy
4;HIZLI ÇOCUK KG DB GKR;4y a  a;ALTINCI HİS;ALARAP;59 +0.20;H.ÇİZİK;KADRİ BAŞKURT;SEN.GÖKÇE;7;%3.41(8)  %3.55(8);89;1:36.13;15,30;Yarım Boy
5;TUNCER KG K DB;8y a  a;KAIZBERT (RU);FORRAYDIR;59,5;O.YILDIZ;CAHİT ÇETİNSU;K.KAYALIK;5;%3.49(7)  %3.61(7);101;1:36.22;13,65;
6;HULKİ KG DB SK;5y d  a;TÜMÖZ BEY;ÇEŞMİAHU;59,5;M.ÇİÇEK;SABRİ AVCI;M.E.AVCI;10 - DS;%22.24(2)  %22.29(2);96;1:37.10;4,90;
7;MUZATCAN KG K DB;5y k  a;TAMERİNOĞLU;MELEĞİMCAN;59,5 +0.10;C.ALTUN;MUHARREM CAN;K.KINAY;4;%2.5(9)  %2.46(9);95;1:37.13;24,90;
8;BAY TAYLAN KG SK;5y d  a;SAADIN GÜCÜ;ARTVİN GÜZELİ;60,5;N.AVCİ;CEM KUTER;S.ÇİFTÇİ;8;%29.97(1)  %28.27(1);100;1:37.17;4,00;
9;ALTINTEPE KG K DB;5y a  a;ÖZGÜNHAN;BİLANA;60,5;M.S.ÇELİK;ABDURRAHMAN ALTIN;B.ATAY;1;%17.05(3)  %18.07(3);103;1:37.21;3,00;
10;KUTADGU KG SK;5y d  a;SARRAF;YENİ ZÜBEYDE;59,5;T.YILDIZ;ERKUT ŞAHİN;U.YOĞURTCU;2;%5.18(4)  %5.04(4);89;1:37.23;6,35;
11;IŞINBİKE KG DB SK;5y d k;SAADIN GÜCÜ;ALARAP;57,5;O.ATMACA;KEZİBAN GÜNDÜZELİ;HÜS.KARABULUT;6;%1.45(10)  %1.36(10);80;1:38.96;29,00;
[(7)POWER OF QUATRO,(5)KUTADGU,] eküridir.GANYAN(1) :10,75 TL, 1. 6'LI GANYAN(5/6/2/2/1,8/1) :100.862,75 TL, 1. 5'Lİ GANYAN(6/2/2/1,8/1) :15.235,50 TL, İKİLİ(1/11) :74,20 TL, SIRALI İKİLİ(1/11) :154,25 TL, ÜÇLÜ BAHİS(1/11/7) :5.045,33 TL, PLASE(1) :3,55 TL, PLASE(11) :6,55 TL, PLASE İKİLİ(1/11) :34,60 TL, PLASE İKİLİ(1/7) :109,20 TL, PLASE İKİLİ(7/11) :47,30 TL, 5. ÇİFTE(1/1) :61,55 TL

7. Kosu :   17.00;KV-7/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1900m; Kum;;;;Rekor Derece :2.11.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)144.000 TL;2.)57.600 TL;3.)28.800 TL;4.)14.400 TL;5.)7.200 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BARBUDA KG K;4y k  a;ARHANBEY;TAMBORA;58 +0.20;N.ŞEN;H.TARIK DİKENCİK;M.ÖZGÜL;9 - DS;%5.38(6);68;2:15.71;15,85;Yarım Boy
2;KÖYCÜ BEY KG K DB;4y k  a;YILMABAŞAR;SEVDALIMSINCAN;61;M.M.BİLGİN;MELTEM PALIT;Y.TAŞKIN;7;%20.4(2);82;2:15.79;4,95;4,5 Boy
3;BAKA BABA KG DB SK;4y k  a;YILMABAŞAR;ÖZGÜR BİKE;58;M.ÇİÇEK;SABRİ AVCI;M.E.AVCI;2;%31.55(1);77;2:16.47;2,45;5,5 Boy
4;EL FURAT K;4y k  a;RED ROSE;ALYA EYLÜL;58 +0.20;O.YILDIZ;MEHMET DEMİRKOL;A.TEMİZER;5;%6.84(5);66;2:17.33;9,65;8 Boy
5;SAFDERUN OĞLU KG K DB;4y a  a;DİLİRAN;TUMBUL YAPRAK;58 +0.20;H.ÇİZİK;İSMET ALTIN;A.TEMİZER;1;%5.02(7);67;2:18.70;6,40;
6;GOBAK KAYRA KG GKR;4y a  a;DİLİRAN;TOŞUR HANIM;55;B.M.MIRIK;ERSİN ERDEM;C.TURAN;3;%4(8);52;2:22.99;16,85;
7;AKLIMCAN KG K DB;4y k  a;TURBO;KINAYCAN;61;C.ALTUN;MUHARREM CAN;K.KINAY;6;%7.61(4);77;2:25.88;11,65;
8;AKMERİÇ KG SK;4y a  a;FİRİKYA;POMALİN;61;N.AVCİ;MEHMET YILDIZ;S.ÇİFTÇİ;8;%17.61(3);83;2:27.36;3,80;
9;AFŞINTAY KG (Koşmaz);4y k  a;KURTÇABEY;BAHTIEVER;58;MAH.TURAN;KAYA KAYA;Ş.Ş.DEMİR;4;%1.57(9);63;Koşmaz;;
GANYAN(6) :15,85 TL, İKİLİ(3/6) :29,20 TL, SIRALI İKİLİ(6/3) :96,05 TL, ÜÇLÜ BAHİS(6/3/5) :472,93 TL Çıkan 1 Atla: 51,10 TL, PLASE(3) :2,55 TL, PLASE(6) :5,50 TL, 6. ÇİFTE(1/6) :144,15 TL

8. Kosu :   17.30;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.06.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)285.000 TL;2.)114.000 TL;3.)57.000 TL;4.)28.500 TL;5.)14.250 TL;1.)51.300 TL;2.)20.520 TL;3.)10.260 TL;4.)5.130 TL;5.)2.565 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GREAT DESIGN KG DB SK;3y d  e;APPROVE (IRE);CHASING THE WIND;55 +1.70;T.ALICI;ÇETİN ÇATAN;R.SUNA;8 - DS;%4.97(6);28;2:11.93;13,85;4,5 Boy
2;JUNIOR STORM SKG SK;3y d  e;EL CORREDOR (USA);PORTO VENERE (IRE);55 +0.90;İ.SOYAD;ABDULLAH AVCI;S.ÇİFTÇİ;6;%11.26(4);30;2:12.67;4,80;1 Boy
3;DOĞU ASLANI DB SKG SK;3y k  e;GRAYSTORM;NURŞO;58 +0.10;H.ÇİZİK;RECEP KETME;F.KIRAN;4;%14.6(3);35;2:12.85;5,10;4,5 Boy
4;PRIVATE JET DB SKG SK;3y d  d;TOROK (IRE);FLEURINE;59;N.AVCİ;G.DİLEK EMİRSOY;M.ESMER;5;%41.38(1);54;2:13.58;1,75;Burun
5;SWORD OF HONOUR SKG SK;3y d  e;MYBOYCHARLIE (IRE);ABBAGNATO (GB);58;C.PASO;KEMAL AYDIN ONUR;K.ŞENGEL;2;%3.75(7);37;2:13.59;21,15;
6;MY İKARUS KG SK;3y a  e;FINESSE;FERİDE ANA;58;B.M.MIRIK;BAYRAM ÇELİK;At Sahibi;7;%15.3(2);36;2:16.39;7,25;
7;SARABANDE DB SKG SK;3y d  d;VICTOIRE PISA (JPN);MELANCHOLY;56 +0.30;M.M.BİLGİN;BAHRİ ÇABUK;HAK.EL;1;%8.56(5);49;2:20.73;8,85;
8;CRIMEAN FIDDLE KG DB SK (Koşmaz);3y d  e;CRIMEAN TATAR;ALLEGRO FIDDLE;60;K.TOKAÇOĞLU;ALİ BAKİLER;İ.H.BAYDAN;3;%0.18(8);40;Koşmaz;;
GANYAN(7) :13,85 TL, İKİLİ(7/8) :21,75 TL, SIRALI İKİLİ(7/8) :74,40 TL, ÜÇLÜ BAHİS(7/8/3) :692,38 TL, PLASE(7) :9,65 TL, PLASE(8) :8,65 TL, 7. ÇİFTE(6/7) :183,30 TL

9. Kosu :   18.00;Handikap 15/DHÖW/Dişi /H2; 3 Yaşlı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.33.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)105.000 TL;2.)42.000 TL;3.)21.000 TL;4.)10.500 TL;5.)5.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
