İstanbul;(78. Yarış Günü);12/10/2025
4;NYMPHADORA TONKS K DB ÖG;4y d k;LUXOR;FOULITA;60;M.KAYA;ONUR DİLBAZ;İB.B.OĞULLARI;3;%24.27(2)  %23.07(2);102;S1Ç1Ç6Ç1Ç0Ç4;36;20;2:09.00
5;OHRID INCISI DB SK;4y d k;MYBOYCHARLIE (IRE);KILFARASY (IRE);60;M.AKYAVUZ;FEDAİ KAHRAMAN;KAD.BALTACI;11 - DS;%3.78(3)  %4.17(4);81;Ç5Ç4S0-Ç8Ç7Ç7;10;10;2:09.14
6;ROSSO E BIANCO DB SK;4y d k;SCARFACE;REYAREYA;60;A.YILDIZ;AHMET KURT;D.KAYA;6;%5.18(7)  %6(7);89;Ç3Ç2Ç1Ç1Ç2Ç2;21;19;2:12.58
7;SECRET IMAGE DB SK;4y k k;LAWMAN (FR);AN RIOCHT (IRE);60;V.ABİŞ;SANEM KAHRAMAN;KAD.BALTACI;2;%4.23(3)  %4.37(4);85;S4Ç3Ç3Ç4Ç0Ç1;21;20;2:10.41
8;SHIROKE K DB;4y d k;TORONADO (IRE);MASHKA (IRE);60;E.ÇANKAYA;SANEM KAHRAMAN;KAD.BALTACI;7;%2.62(3)  %2.84(4);90;Ç5Ç6-Ç8Ç9Ç5Ç1;10;20;2:09.47
9;SPLENDID DB SKG (Koşmaz);6y d k;LUXOR;GRAND EXPECTATIONS;60;A.KURŞUN;VOLKAN R. EKİNCİ;A.KÜÇÜKAKSOY;5;%0.07(9)  %0.02(9);94;Ç3S6Ç5S1Ç2Ç5;21;18;2:08.34
10;STASERA K DB;4y d k;CATAPULT (USA);SUBIRA (GER);60;A.SÖZEN;ORHAN KİBAR;S.ÇİFTÇİ;4;%2.43(8)  %2.89(8);89;K1S1Ç1Ç4Ç4S7;16;17;2:11.22
11;BEAUTY OF DARKNESS K;3y d  d;TIZWAY (USA);YASEMİN KIZ;56,5;Ö.YILDIRIM;ERDAL ÖZTÜRK;U.KULAK;8;%32.65(1)  %29.08(1);100;Ç7Ç1Ç6Ç4Ç1Ç6;14;20;2:12.19
[(5)OHRID INCISI,(7)SECRET IMAGE,(8)SHIROKE,] eküridir.4'LÜ GANYAN;6. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

7. Kosu :   17.00;Handikap 17 /H1; 3 ve Yukarı İngilizler; kg; 2100m; Sentetik;;;;Rekor Derece :2.09.15
İkramiye;;;;;Yetiştirici Primi;;;;
1.)570.000 TL;2.)228.000 TL;3.)114.000 TL;4.)57.000 TL;5.)28.500 TL;1.)136.800 TL;2.)54.720 TL;3.)27.360 TL;4.)13.680 TL;5.)6.840 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;CATCH THE STARS SK;5y d  a;LION HEART (USA);STAR KIZ;63;A.ÇELİK;ÖZCAN SELİK;T.YILMAZ;5 - DS;%5.88(4);85;Ç2Ç4Ç8S2Ç5S4;67;16;2:11.12
2;LAUREATE K DB SKG;3y d  e;NOBEL PRIZE (IRE);INTO THE WILD (FR);58;G.KOCAKAYA;GÜLŞEN DÜLGER;H.DÜLGER;6 - DS;%15.06(2);82;Ç3Ç3Ç2Ç1Ç2Ç2;11;19;
